Country  ,Year,Population
Argentina,1983,29391334
Argentina,1984,29863090
Argentina,1985,30336448
Argentina,1986,30811982
Argentina,1987,31291764
Argentina,1988,31780534
Argentina,1989,32270958
Argentina,1990,32755907
Argentina,1991,33230293
Argentina,1992,33693532
Argentina,1993,34152719
Argentina,1994,34613492
Argentina,1995,35070016
Argentina,1996,35513795
Argentina,1997,35947790
Argentina,1998,36372862
Argentina,1999,36794687
Argentina,2000,37213986
Argentina,2001,37624817
Argentina,2002,38029345
Argentina,2003,38424283
Argentina,2004,38815915
Argentina,2005,39216786
Argentina,2006,39622113
Argentina,2007,40016767
Argentina,2008,40424151
Argentina,2009,40854832
Argentina,2010,41288694
Argentina,2011,41730655
Argentina,2012,42161718
Argentina,2013,42582453
Argentina,2014,43024071
Argentina,2015,43477011
Argentina,2016,43900312
Argentina,2017,44288898
Argentina,2018,44654876
Argentina,2019,44973469
Argentina,2020,45191960
Argentina,2021,45312282
Argentina,2022,45407904
Argentina,2023,45538402
Egypt,1983,47786401
Egypt,1984,49247336
Egypt,1985,50734974
Egypt,1986,52206296
Egypt,1987,53674436
Egypt,1988,55187680
Egypt,1989,56710641
Egypt,1990,58396625
Egypt,1991,60029001
Egypt,1992,61480663
Egypt,1993,62915681
Egypt,1994,64285596
Egypt,1995,65652621
Egypt,1996,67028045
Egypt,1997,68431738
Egypt,1998,69943297
Egypt,1999,71520953
Egypt,2000,73083287
Egypt,2001,74652035
Egypt,2002,76239140
Egypt,2003,77853548
Egypt,2004,79477441
Egypt,2005,81101012
Egypt,2006,82700404
Egypt,2007,84276224
Egypt,2008,85864791
Egypt,2009,87501635
Egypt,2010,89196073
Egypt,2011,91093066
Egypt,2012,93161000
Egypt,2013,95333551
Egypt,2014,97528655
Egypt,2015,99597334
Egypt,2016,101644583
Egypt,2017,103696055
Egypt,2018,105682092
Egypt,2019,107553159
Egypt,2020,109315118
Egypt,2021,110957005
Egypt,2022,112618252
Egypt,2023,114535772
Malaysia,1983,14285914
Malaysia,1984,14759013
Malaysia,1985,15252262
Malaysia,1986,15760425
Malaysia,1987,16276735
Malaysia,1988,16796612
Malaysia,1989,17315003
Malaysia,1990,17833179
Malaysia,1991,18342474
Malaysia,1992,18834569
Malaysia,1993,19322667
Malaysia,1994,19820446
Malaysia,1995,20330602
Malaysia,1996,20850085
Malaysia,1997,21375225
Malaysia,1998,21906713
Malaysia,1999,22435532
Malaysia,2000,22967817
Malaysia,2001,23526535
Malaysia,2002,24102477
Malaysia,2003,24679604
Malaysia,2004,25256773
Malaysia,2005,25836075
Malaysia,2006,26417909
Malaysia,2007,26998383
Malaysia,2008,27570052
Malaysia,2009,28124779
Malaysia,2010,28655772
Malaysia,2011,29162034
Malaysia,2012,29662835
Malaysia,2013,30174269
Malaysia,2014,30696133
Malaysia,2015,31232796
Malaysia,2016,31789692
Malaysia,2017,32355642
Malaysia,2018,32910963
Malaysia,2019,33440590
Malaysia,2020,33889554
Malaysia,2021,34282404
Malaysia,2022,34695494
Malaysia,2023,35126295
Pakistan,1983,92227711
Pakistan,1984,95164940
Pakistan,1985,98229291
Pakistan,1986,101606770
Pakistan,1987,105130710
Pakistan,1988,108724740
Pakistan,1989,112336634
Pakistan,1990,116155584
Pakistan,1991,120060409
Pakistan,1992,123546855
Pakistan,1993,127020117
Pakistan,1994,130748076
Pakistan,1995,134582255
Pakistan,1996,138557089
Pakistan,1997,142531801
Pakistan,1998,146522354
Pakistan,1999,150565381
Pakistan,2000,154879124
Pakistan,2001,159270910
Pakistan,2002,163222552
Pakistan,2003,167110250
Pakistan,2004,171285999
Pakistan,2005,175453212
Pakistan,2006,179682690
Pakistan,2007,184493231
Pakistan,2008,189499112
Pakistan,2009,194376535
Pakistan,2010,199239048
Pakistan,2011,203746069
Pakistan,2012,207667129
Pakistan,2013,211073979
Pakistan,2014,214264649
Pakistan,2015,217290884
Pakistan,2016,220138863
Pakistan,2017,223273974
Pakistan,2018,226928893
Pakistan,2019,230800908
Pakistan,2020,235001745
Pakistan,2021,239477805
Pakistan,2022,243700667
Pakistan,2023,247504505
Sweden,1983,8328915
Sweden,1984,8336482
Sweden,1985,8350249
Sweden,1986,8369681
Sweden,1987,8397651
Sweden,1988,8436358
Sweden,1989,8492821
Sweden,1990,8558571
Sweden,1991,8616955
Sweden,1992,8667576
Sweden,1993,8718038
Sweden,1994,8780190
Sweden,1995,8826298
Sweden,1996,8840330
Sweden,1997,8845525
Sweden,1998,8850606
Sweden,1999,8857691
Sweden,2000,8872099
Sweden,2001,8896018
Sweden,2002,8925045
Sweden,2003,8958434
Sweden,2004,8993805
Sweden,2005,9029771
Sweden,2006,9080628
Sweden,2007,9148280
Sweden,2008,9219903
Sweden,2009,9298738
Sweden,2010,9378234
Sweden,2011,9449263
Sweden,2012,9519477
Sweden,2013,9600620
Sweden,2014,9696438
Sweden,2015,9799483
Sweden,2016,9923281
Sweden,2017,10057864
Sweden,2018,10175400
Sweden,2019,10279120
Sweden,2020,10353682
Sweden,2021,10416134
Sweden,2022,10487335
Sweden,2023,10551493
Thailand,1983,48423309
Thailand,1984,49351711
Thailand,1985,50270754
Thailand,1986,51177832
Thailand,1987,52074109
Thailand,1988,52969595
Thailand,1989,53848955
Thailand,1990,54738329
Thailand,1991,55637436
Thailand,1992,56528832
Thailand,1993,57408198
Thailand,1994,58260855
Thailand,1995,59098231
Thailand,1996,59920059
Thailand,1997,60724588
Thailand,1998,61522632
Thailand,1999,62299039
Thailand,2000,63007815
Thailand,2001,63651137
Thailand,2002,64266433
Thailand,2003,64868164
Thailand,2004,65452049
Thailand,2005,66017415
Thailand,2006,66567685
Thailand,2007,67102388
Thailand,2008,67619835
Thailand,2009,68121077
Thailand,2010,68579443
Thailand,2011,69007212
Thailand,2012,69436091
Thailand,2013,69845112
Thailand,2014,70216362
Thailand,2015,70540787
Thailand,2016,70859835
Thailand,2017,71160183
Thailand,2018,71376081
Thailand,2019,71522264
Thailand,2020,71641484
Thailand,2021,71727338
Thailand,2022,71735321
Thailand,2023,71702436
Venezuela,1983,16562202
Venezuela,1984,17008838
Venezuela,1985,17461433
Venezuela,1986,17923542
Venezuela,1987,18394970
Venezuela,1988,18871021
Venezuela,1989,19348925
Venezuela,1990,19827005
Venezuela,1991,20304898
Venezuela,1992,20780946
Venezuela,1993,21254525
Venezuela,1994,21725186
Venezuela,1995,22193822
Venezuela,1996,22662117
Venezuela,1997,23131691
Venezuela,1998,23601341
Venezuela,1999,24066595
Venezuela,2000,24526707
Venezuela,2001,24979934
Venezuela,2002,25435674
Venezuela,2003,25892710
Venezuela,2004,26340843
Venezuela,2005,26785797
Venezuela,2006,27224691
Venezuela,2007,27649369
Venezuela,2008,28053694
Venezuela,2009,28438296
Venezuela,2010,28813101
Venezuela,2011,29185220
Venezuela,2012,29553829
Venezuela,2013,29912195
Venezuela,2014,30254080
Venezuela,2015,30573968
Venezuela,2016,30765719
Venezuela,2017,30565331
Venezuela,2018,29807591
Venezuela,2019,28938096
Venezuela,2020,28444080
Venezuela,2021,28237830
Venezuela,2022,28213015
Venezuela,2023,28300861
