Country,electricity final consumption by sector,Value,Year,Units
Argentina,Industry,125431,2000, TJ
Argentina,Industry,122562,2001, TJ
Argentina,Industry,122630,2002, TJ
Argentina,Industry,135399,2003, TJ
Argentina,Industry,143996,2004, TJ
Argentina,Industry,148132,2005, TJ
Argentina,Industry,161175,2006, TJ
Argentina,Industry,154814,2007, TJ
Argentina,Industry,165330,2008, TJ
Argentina,Industry,160192,2009, TJ
Argentina,Industry,173901,2010, TJ
Argentina,Industry,178970,2011, TJ
Argentina,Industry,181940,2012, TJ
Argentina,Industry,176140,2013, TJ
Argentina,Industry,185029,2014, TJ
Argentina,Industry,193561,2015, TJ
Argentina,Industry,185227,2016, TJ
Argentina,Industry,181372,2017, TJ
Argentina,Industry,182753,2018, TJ
Argentina,Industry,179613,2019, TJ
Argentina,Industry,182335,2020, TJ
Argentina,Industry,168728,2021, TJ
Argentina,Industry,156827,2022, TJ
Argentina,Industry,149761,2023, TJ
Argentina,Industry,149516,2024, TJ
Argentina,Transport,2012,2000, TJ
Argentina,Transport,1832,2001, TJ
Argentina,Transport,1890,2002, TJ
Argentina,Transport,1947,2003, TJ
Argentina,Transport,2102,2004, TJ
Argentina,Transport,2188,2005, TJ
Argentina,Transport,2224,2006, TJ
Argentina,Transport,2260,2007, TJ
Argentina,Transport,2350,2008, TJ
Argentina,Transport,2383,2009, TJ
Argentina,Transport,2426,2010, TJ
Argentina,Transport,2494,2011, TJ
Argentina,Transport,2214,2012, TJ
Argentina,Transport,2235,2013, TJ
Argentina,Transport,2116,2014, TJ
Argentina,Transport,2037,2015, TJ
Argentina,Transport,1965,2016, TJ
Argentina,Transport,2377,2017, TJ
Argentina,Transport,1959,2018, TJ
Argentina,Transport,1902,2019, TJ
Argentina,Transport,1129,2020, TJ
Argentina,Transport,1765,2021, TJ
Argentina,Transport,926,2022, TJ
Argentina,Transport,1027,2023, TJ
Argentina,Transport,1196,2024, TJ
Argentina,Residential,77385,2000, TJ
Argentina,Residential,79570,2001, TJ
Argentina,Residential,76485,2002, TJ
Argentina,Residential,77677,2003, TJ
Argentina,Residential,81036,2004, TJ
Argentina,Residential,87796,2005, TJ
Argentina,Residential,95471,2006, TJ
Argentina,Residential,107251,2007, TJ
Argentina,Residential,112921,2008, TJ
Argentina,Residential,116384,2009, TJ
Argentina,Residential,122986,2010, TJ
Argentina,Residential,130111,2011, TJ
Argentina,Residential,135255,2012, TJ
Argentina,Residential,144345,2013, TJ
