Country,Year,Electricity consumption per capita,Units
Argentina,2000,2.092,MWh / Capita
Argentina,2001,2.093,MWh / Capita
Argentina,2002,2.027,MWh / Capita
Argentina,2003,2.143,MWh / Capita
Argentina,2004,2.257,MWh / Capita
Argentina,2005,2.37,MWh / Capita
Argentina,2006,2.503,MWh / Capita
Argentina,2007,2.597,MWh / Capita
Argentina,2008,2.703,MWh / Capita
Argentina,2009,2.68,MWh / Capita
Argentina,2010,2.778,MWh / Capita
Argentina,2011,2.881,MWh / Capita
Argentina,2012,2.918,MWh / Capita
Argentina,2013,2.941,MWh / Capita
Argentina,2014,3.036,MWh / Capita
Argentina,2015,3.14,MWh / Capita
Argentina,2016,3.105,MWh / Capita
Argentina,2017,3.006,MWh / Capita
Argentina,2018,2.971,MWh / Capita
Argentina,2019,2.877,MWh / Capita
Argentina,2020,2.827,MWh / Capita
Argentina,2021,2.943,MWh / Capita
Argentina,2022,2.833,MWh / Capita
Argentina,2023,2.822,MWh / Capita
Egypt,2000,0.92,MWh / Capita
Egypt,2001,0.967,MWh / Capita
Egypt,2002,1.012,MWh / Capita
Egypt,2003,1.073,MWh / Capita
Egypt,2004,1.111,MWh / Capita
Egypt,2005,1.175,MWh / Capita
Egypt,2006,1.239,MWh / Capita
Egypt,2007,1.322,MWh / Capita
Egypt,2008,1.36,MWh / Capita
Egypt,2009,1.423,MWh / Capita
Egypt,2010,1.612,MWh / Capita
Egypt,2011,1.559,MWh / Capita
Egypt,2012,1.562,MWh / Capita
Egypt,2013,1.505,MWh / Capita
Egypt,2014,1.576,MWh / Capita
Egypt,2015,1.567,MWh / Capita
Egypt,2016,1.479,MWh / Capita
Egypt,2017,1.565,MWh / Capita
Egypt,2018,1.558,MWh / Capita
Egypt,2019,1.51,MWh / Capita
Egypt,2020,1.431,MWh / Capita
Egypt,2021,1.459,MWh / Capita
Egypt,2022,1.478,MWh / Capita
Egypt,2023,1.493,MWh / Capita
Malaysia,2000,2.774,MWh / Capita
Malaysia,2001,2.78,MWh / Capita
Malaysia,2002,2.833,MWh / Capita
Malaysia,2003,2.917,MWh / Capita
Malaysia,2004,2.977,MWh / Capita
Malaysia,2005,2.858,MWh / Capita
Malaysia,2006,3.041,MWh / Capita
Malaysia,2007,3.239,MWh / Capita
Malaysia,2008,3.246,MWh / Capita
Malaysia,2009,3.887,MWh / Capita
Malaysia,2010,4.081,MWh / Capita
Malaysia,2011,4.031,MWh / Capita
Malaysia,2012,4.252,MWh / Capita
Malaysia,2013,4.415,MWh / Capita
Malaysia,2014,4.389,MWh / Capita
Malaysia,2015,4.475,MWh / Capita
Malaysia,2016,4.567,MWh / Capita
Malaysia,2017,4.699,MWh / Capita
Malaysia,2018,4.779,MWh / Capita
Malaysia,2019,4.916,MWh / Capita
Malaysia,2020,4.738,MWh / Capita
Malaysia,2021,4.861,MWh / Capita
Malaysia,2022,5.241,MWh / Capita
Malaysia,2023,5.084,MWh / Capita
Pakistan,2000,0.333,MWh / Capita
Pakistan,2001,0.336,MWh / Capita
Pakistan,2002,0.341,MWh / Capita
Pakistan,2003,0.362,MWh / Capita
Pakistan,2004,0.378,MWh / Capita
Pakistan,2005,0.406,MWh / Capita
Pakistan,2006,0.426,MWh / Capita
Pakistan,2007,0.418,MWh / Capita
Pakistan,2008,0.382,MWh / Capita
Pakistan,2009,0.394,MWh / Capita
Pakistan,2010,0.398,MWh / Capita
Pakistan,2011,0.389,MWh / Capita
Pakistan,2012,0.386,MWh / Capita
Pakistan,2013,0.415,MWh / Capita
Pakistan,2014,0.419,MWh / Capita
Pakistan,2015,0.435,MWh / Capita
Pakistan,2016,0.456,MWh / Capita
Pakistan,2017,0.496,MWh / Capita
Pakistan,2018,0.495,MWh / Capita
Pakistan,2019,0.481,MWh / Capita
Pakistan,2020,0.518,MWh / Capita
Pakistan,2021,0.57,MWh / Capita
Pakistan,2022,0.517,MWh / Capita
Pakistan,2023,0.518,MWh / Capita
Sweden,2000,15.684,MWh / Capita
Sweden,2001,16.019,MWh / Capita
Sweden,2002,15.706,MWh / Capita
Sweden,2003,15.361,MWh / Capita
Sweden,2004,15.42,MWh / Capita
Sweden,2005,15.435,MWh / Capita
Sweden,2006,15.258,MWh / Capita
Sweden,2007,15.261,MWh / Capita
Sweden,2008,14.872,MWh / Capita
Sweden,2009,14.147,MWh / Capita
Sweden,2010,14.937,MWh / Capita
Sweden,2011,14.031,MWh / Capita
Sweden,2012,14.293,MWh / Capita
Sweden,2013,13.872,MWh / Capita
Sweden,2014,13.479,MWh / Capita
Sweden,2015,13.524,MWh / Capita
Sweden,2016,13.687,MWh / Capita
Sweden,2017,13.498,MWh / Capita
Sweden,2018,13.331,MWh / Capita
Sweden,2019,12.805,MWh / Capita
Sweden,2020,12.608,MWh / Capita
Sweden,2021,13.018,MWh / Capita
Sweden,2022,12.371,MWh / Capita
Sweden,2023,12.078,MWh / Capita
Sweden,2024,12.156,MWh / Capita
Thailand,2000,1.447,MWh / Capita
Thailand,2001,1.502,MWh / Capita
Thailand,2002,1.613,MWh / Capita
Thailand,2003,1.705,MWh / Capita
Thailand,2004,1.814,MWh / Capita
Thailand,2005,1.897,MWh / Capita
Thailand,2006,1.982,MWh / Capita
Thailand,2007,2.056,MWh / Capita
Thailand,2008,2.07,MWh / Capita
Thailand,2009,2.062,MWh / Capita
Thailand,2010,2.26,MWh / Capita
Thailand,2011,2.23,MWh / Capita
Thailand,2012,2.367,MWh / Capita
Thailand,2013,2.421,MWh / Capita
Thailand,2014,2.419,MWh / Capita
Thailand,2015,2.488,MWh / Capita
Thailand,2016,2.714,MWh / Capita
Thailand,2017,2.69,MWh / Capita
Thailand,2018,2.7,MWh / Capita
Thailand,2019,2.774,MWh / Capita
Thailand,2020,2.673,MWh / Capita
Thailand,2021,2.722,MWh / Capita
Thailand,2022,2.829,MWh / Capita
Thailand,2023,2.965,MWh / Capita
Ukraine,2000,2.757,MWh / Capita
Ukraine,2001,2.766,MWh / Capita
Ukraine,2002,2.817,MWh / Capita
Ukraine,2003,2.967,MWh / Capita
Ukraine,2004,3.116,MWh / Capita
Ukraine,2005,3.213,MWh / Capita
Ukraine,2006,3.364,MWh / Capita
Ukraine,2007,3.487,MWh / Capita
Ukraine,2008,3.492,MWh / Capita
Ukraine,2009,3.188,MWh / Capita
Ukraine,2010,3.51,MWh / Capita
Ukraine,2011,3.615,MWh / Capita
Ukraine,2012,3.592,MWh / Capita
Ukraine,2013,3.55,MWh / Capita
Ukraine,2014,3.367,MWh / Capita
Ukraine,2015,3.165,MWh / Capita
Ukraine,2016,3.161,MWh / Capita
Ukraine,2017,2.951,MWh / Capita
Ukraine,2018,3.025,MWh / Capita
Ukraine,2019,2.973,MWh / Capita
Ukraine,2020,2.922,MWh / Capita
Ukraine,2021,3.165,MWh / Capita
Ukraine,2022,2.42,MWh / Capita
Ukraine,2023,2.516,MWh / Capita
Venezuela,2000,2.631,MWh / Capita
Venezuela,2001,2.696,MWh / Capita
Venezuela,2002,2.722,MWh / Capita
Venezuela,2003,2.63,MWh / Capita
Venezuela,2004,2.769,MWh / Capita
Venezuela,2005,2.848,MWh / Capita
Venezuela,2006,2.958,MWh / Capita
Venezuela,2007,2.975,MWh / Capita
Venezuela,2008,3.079,MWh / Capita
Venezuela,2009,3.057,MWh / Capita
Venezuela,2010,2.82,MWh / Capita
Venezuela,2011,2.798,MWh / Capita
Venezuela,2012,2.783,MWh / Capita
Venezuela,2013,2.715,MWh / Capita
Venezuela,2014,1.989,MWh / Capita
Venezuela,2015,2.28,MWh / Capita
Venezuela,2016,2.128,MWh / Capita
Venezuela,2017,2.76,MWh / Capita
Venezuela,2018,2.539,MWh / Capita
Venezuela,2019,2.009,MWh / Capita
Venezuela,2020,2.015,MWh / Capita
Venezuela,2021,2.128,MWh / Capita
Venezuela,2022,2.138,MWh / Capita
Venezuela,2023,1.953,MWh / Capita
